userName,score,content,at,cleaning,case_folding,normalization,stopword_removal,translated_review,sentiment
Pponyo Picolo,3,"sekarang nyari driver susah, pada ga MW ambil",2026-03-30 23:25:32,sekarang nyari driver susah pada ga ambil,sekarang nyari driver susah pada ga ambil,sekarang mencari driver susah pada tidak ambil,sekarang mencari driver susah pada tidak ambil,"now it's hard to find a driver, don't take it",negative
FAIRUZTRANS,5,tolong banget nih kak goride hemat tolong cepetin pencarian driver nya mak,2026-03-30 23:23:38,tolong banget nih kak goride hemat tolong cepetin pencarian driver nya mak,tolong banget nih kak goride hemat tolong cepetin pencarian driver nya mak,tolong banget nih kak goride hemat tolong cepetin pencarian driver nya mak,goride hemat cepetin pencarian driver mak,"goride saves and quickly searches for drivers, mom",positive
SEPTIA PUTRA,2,suka susah dapat driver gak rekomend bat payah,2026-03-30 23:21:36,suka susah dapat driver gak rekomend bat payah,suka susah dapat driver gak rekomend bat payah,suka susah dapat driver enggak rekomend banget payah,suka susah dapat driver enggak rekomend payah,"if it's hard to get a driver, don't recommend it",negative
Gilang Goper,5,puas,2026-03-30 23:20:56,puas,puas,puas,puas,satisfied,positive
Fadhlurrahman NF,5,ok,2026-03-30 23:17:42,ok,ok,baik,baik,good,positive
Arsyilla Syilla,5,mempercepat perjalanan apabila dibutuhkan,2026-03-30 23:16:08,mempercepat perjalanan apabila dibutuhkan,mempercepat perjalanan apabila dibutuhkan,mempercepat perjalanan apabila dibutuhkan,mempercepat perjalanan apabila dibutuhkan,speed up the journey if necessary,neutral
Firman Syah,1,"selalu susah dan tidak dapat driver kalo pagi pagi order, padahal pagi itu jam jam rawan anak mau berangkat sekolah... sekelas gojek ga ada yang bersedia",2026-03-30 23:08:03,selalu susah dan tidak dapat driver kalo pagi pagi order padahal pagi itu jam jam rawan anak mau berangkat sekolah sekelas gojek ga ada yang bersedia,selalu susah dan tidak dapat driver kalo pagi pagi order padahal pagi itu jam jam rawan anak mau berangkat sekolah sekelas gojek ga ada yang bersedia,selalu susah dan tidak dapat driver kalo pagi pagi order padahal pagi itu jam jam rawan anak mau berangkat sekolah sekelas gojek tidak ada yang bersedia,selalu susah dan tidak dapat driver pagi pagi pagi itu jam jam rawan anak mau berangkat sekolah sekelas gojek tidak ada yang bersedia,"it's always difficult and you can't get a driver early in the morning, at the vulnerable hour when children want to go to school, no one in the gojek class is willing",negative
Hagai gabriel L.T,1,tolong lah gojek jangan rakus akhir akhir ini driver jadi makin jauh dapet lokasi saya tau maksud fitur yang baru yang tambah 3000 untuk cari driver lokasi dekat tapi bukan begini,2026-03-30 23:05:35,tolong lah gojek jangan rakus akhir akhir ini driver jadi makin jauh dapet lokasi saya tau maksud fitur yang baru yang tambah untuk cari driver lokasi dekat tapi bukan begini,tolong lah gojek jangan rakus akhir akhir ini driver jadi makin jauh dapet lokasi saya tau maksud fitur yang baru yang tambah untuk cari driver lokasi dekat tapi bukan begini,tolong lah gojek jangan rakus akhir akhir ini driver jadi makin jauh dapat lokasi saya tau maksud fitur yang baru yang tambah untuk cari driver lokasi dekat tapi bukan begini,lah gojek jangan rakus akhir akhir ini driver jadi makin jauh dapat lokasi saya maksud fitur yang baru yang tambah untuk cari driver lokasi dekat tapi bukan begini,"gojek, don't be greedy. lately, drivers have been getting farther and farther from locations. i mean the new feature has been added to find drivers near locations, but not like this.",negative
Nur Halim Alma'mury,5,menyenangkan....,2026-03-30 22:53:00,menyenangkan,menyenangkan,menyenangkan,menyenangkan,pleasant,positive
Putri Kholifa,3,"susah sekali dpt gojek, sudah pakai yg paling mahal pun ditolak, 30 menit nungguinnya.",2026-03-30 22:52:28,susah sekali gojek sudah pakai paling mahal pun ditolak menit nungguinnya,susah sekali gojek sudah pakai paling mahal pun ditolak menit nungguinnya,susah sekali gojek sudah pakai paling mahal pun ditolak menit nungguinnya,susah sekali gojek sudah pakai paling mahal pun ditolak menit nungguinnya,it's very difficult to use the most expensive gojek and it's rejected even after waiting for it,negative
Yuma,4,ini kenapa ya saldo kepotong 72.000 padahal order gocar gak dapat??? sudah yang kedua kalinya nihhh kacauuuu!!,2026-03-30 22:39:14,ini kenapa saldo kepotong padahal order gocar gak dapat sudah yang kedua kalinya,ini kenapa saldo kepotong padahal order gocar gak dapat sudah yang kedua kalinya,ini kenapa saldo kepotong padahal order gocar enggak dapat sudah yang kedua kalinya,ini kenapa saldo kepotong gocar enggak dapat sudah yang kedua kalinya,this is why gocar's balance can't be cut a second time,neutral
Disney Family,1,"hati2 para pelanggan, saya memakai app ini sdh sgt lama dan hr ini sy sgt kecewa krn 3 hari lalu sy memesan makanan tp 2 item oleh resto di bilang abis, bgtu makanan tiba sy byr driver lgsg tancap gas tanpa memberi sy uang kembalian dan lngsung di end chat. sy buat laporan hingga 3 hr bertele2 di minta foto berulang kali n di blg gk bs lapor sth 24 jam pdhl sy lapor saat itu jg tp pihak gojek yg sengaja meresponnya keesokan hari. Hati2 aja para pengguna app gojek jika beli makanan.",2026-03-30 22:27:19,para pelanggan saya memakai app ini lama dan ini kecewa hari lalu memesan makanan item oleh resto bilang abis bgtu makanan tiba driver tancap gas tanpa memberi uang kembalian dan end chat buat laporan hingga minta foto berulang kali n gk lapor jam lapor saat itu pihak gojek sengaja meresponnya keesokan hari aja para pengguna app gojek jika beli makanan,para pelanggan saya memakai app ini lama dan ini kecewa hari lalu memesan makanan item oleh resto bilang abis bgtu makanan tiba driver tancap gas tanpa memberi uang kembalian dan end chat buat laporan hingga minta foto berulang kali n gk lapor jam lapor saat itu pihak gojek sengaja meresponnya keesokan hari aja para pengguna app gojek jika beli makanan,para pelanggan saya memakai aplikasi ini lama dan ini kecewa hari lalu memesan makanan item oleh resto bilang habis begitu makanan tiba driver tancap gas tanpa memberi uang kembalian dan end chat buat laporan hingga meminta foto berulang kali dan tidak lapor jam lapor saat itu pihak gojek sengaja meresponnya keesokan hari saja para pengguna aplikasi gojek jika beli makanan,para pelanggan saya memakai aplikasi ini lama dan ini kecewa hari lalu memesan makanan item oleh resto bilang habis begitu makanan tiba driver tancap gas tanpa memberi uang kembalian dan end chat buat laporan hingga meminta foto berulang kali dan tidak lapor jam lapor saat itu pihak gojek sengaja meresponnya keesokan hari saja para pengguna aplikasi gojek jika beli makanan,"my customers have been using this application for a long time and were disappointed the other day when they ordered a food item from the restaurant, they said it was finished as soon as the food arrived, the driver stepped on the gas without giving change and ended the chat, made a report, even asked for photos repeatedly and didn't report the reporting time at that time, gojek deliberately responded the next day, gojek application users only bought food if they bought food.",negative
Vemby Aditya Herman,1,"APK OJEK MAKIN GOBLOKKKKKK, GADA BAGUSNYA KNTL",2026-03-30 21:59:47,apk ojek makin gada bagusnya,apk ojek makin gada bagusnya,aplikasi ojek makin enggak ada bagusnya,aplikasi ojek makin enggak ada bagusnya,motorbike taxi applications are no longer any good,positive
Putra Kurnia,2,driver nya pilih pilih,2026-03-30 21:52:13,driver nya pilih pilih,driver nya pilih pilih,driver nya pilih pilih,driver pilih pilih,driver select select,neutral
cor chon chanel,1,"bnyak driver nakal,, diapliksi tulisnya 12rbu glirn byar mintanya 30rbu.hati"" klo plat beda dgn nmor yg trcntum diaplksi jgn mau.hnya modus.",2026-03-30 21:49:04,driver nakal diapliksi tulisnya byar mintanya hati klo plat beda nmor diaplksi mau hnya modus,driver nakal diapliksi tulisnya byar mintanya hati klo plat beda nmor diaplksi mau hnya modus,driver nakal diapliksi tulisnya byar mintanya hati kalo plat beda nmor diaplksi mau hanya modus,driver nakal diapliksi tulisnya byar mintanya hati plat beda nmor diaplksi mau hanya modus,"naughty drivers write in the application so that they ask for a different license plate number to be applied, it's just a mode",negative
Muhammad Sukron,1,tolong drivernya yang kompeten saya sudah nunggu lama udah sampai di cancel,2026-03-30 21:32:59,tolong drivernya yang kompeten saya sudah nunggu lama udah sampai cancel,tolong drivernya yang kompeten saya sudah nunggu lama udah sampai cancel,tolong drivernya yang kompeten saya sudah menunggu lama sudah sampai cancel,drivernya yang kompeten saya sudah menunggu lama sudah sampai cancel,"the driver is competent, i have been waiting for a long time and it has been cancelled",positive
Devi Firdaus,5,great app,2026-03-30 19:59:51,great app,great app,gregat aplikasi,gregat aplikasi,great application,positive
Veri Kurniawan,1,cs layanan nya jelek ga member solusi,2026-03-30 19:02:12,layanan nya jelek ga member solusi,layanan nya jelek ga member solusi,layanan nya jelek tidak memberi solusi,layanan jelek tidak memberi solusi,bad service does not provide a solution,negative
Elseria Naibaho,1,DRIVER TERSEBUT (DALAM GAMBAR SCREENSHOT TERLAMPIR) MELAKUKAN PELANGGARAN DALAM MEMBERIKAN PELAYANAN KEPADA SAYA SELAKU PELANGGAN !,2026-03-30 18:53:58,driver tersebut dalam gambar screenshot terlampir melakukan pelanggaran dalam memberikan pelayanan kepada saya selaku pelanggan,driver tersebut dalam gambar screenshot terlampir melakukan pelanggaran dalam memberikan pelayanan kepada saya selaku pelanggan,driver tersebut dalam gambar screenshot terlampir melakukan pelanggaran dalam memberikan pelayanan kepada saya selaku pelanggan,driver tersebut dalam gambar screenshot terlampir melakukan pelanggaran dalam memberikan pelayanan kepada saya selaku pelanggan,the driver in the attached screenshot committed a violation in providing service to me as a customer,neutral
gagan sugandiatmawijaya,5,Bagus,2026-03-30 17:35:42,bagus,bagus,bagus,bagus,good,positive
rre,5,Bagus banget aplikasinya🥺,2026-03-30 17:19:06,bagus banget aplikasinya,bagus banget aplikasinya,bagus banget aplikasinya,bagus aplikasinya,good application,positive
yatno back,1,Mulai bosok 🤣,2026-03-30 17:01:01,mulai bosok,mulai bosok,mulai bosok,mulai bosok,starting to get bored,negative
fikri manda,5,terimakasih,2026-03-30 16:38:29,terimakasih,terimakasih,terimakasih,terimakasih,thank you,neutral
Sumardi Laga,5,segala sesuatu menjadi lebih mudah,2026-03-30 16:32:37,segala sesuatu menjadi lebih mudah,segala sesuatu menjadi lebih mudah,segala sesuatu menjadi lebih mudah,segala sesuatu menjadi lebih mudah,everything becomes easier,neutral
Kartika Islamiya,4,"bagus applikasi nya cuman buat gofood banyakin voucher gratis ongkir, untuk transaksi under 20 ribu dong 🙏🏻",2026-03-30 16:28:27,bagus applikasi nya cuman buat gofood banyakin voucher gratis ongkir untuk transaksi under ribu dong,bagus applikasi nya cuman buat gofood banyakin voucher gratis ongkir untuk transaksi under ribu dong,bagus aplikasi nya cuman buat gofood membanyaki voucer gratis ongkir untuk transaksi under ribu dong,bagus aplikasi buat gofood membanyaki voucer gratis ongkir untuk transaksi under ribu dong,good application for gofood to increase free shipping vouchers for transactions under thousand dong,positive
Okta Piani,5,"yaoooooo berguna banget buat aku yang suka mageran ini, pelayanan nya juga oke2",2026-03-30 15:58:52,berguna banget buat aku yang suka mageran ini pelayanan nya juga,berguna banget buat aku yang suka mageran ini pelayanan nya juga,berguna banget buat aku yang suka mageran ini pelayanan nya juga,berguna buat aku yang suka mageran ini pelayanan,useful for me who likes this mageran service,positive
Slamet Sugiyanto,5,jos,2026-03-30 15:55:24,jos,jos,jos,jos,jos,neutral
dhini yulianita,1,"Selama 10 Tahun Pake Gojek, Baru Sebulan ini merasa SANGAT KECEWA. 1. Argo Selangit tapi buat dapet Driver Lamanya minta ampun; sekalinya dapet Jauh, nunggu lagi; 2. Order Gofood juga susah buat dapet driver, harus nunggu 30-45 menit baru bisa cancel.. Itupun belum tentu dapet driver. Sekalinya dapet, mesti nunggu lagi makanan untuk dibuat; 3. Dari dulu kalo Hujan Lelet. Gojek Gak Menghargai Customer kalo begini caranya!!",2026-03-30 15:43:20,selama tahun pake gojek baru sebulan ini merasa sangat kecewa argo selangit tapi buat dapet driver lamanya minta ampun sekalinya dapet jauh nunggu lagi order gofood juga susah buat dapet driver harus nunggu menit baru bisa cancel itupun belum tentu dapet driver sekalinya dapet mesti nunggu lagi makanan untuk dibuat dari dulu kalo hujan lelet gojek gak menghargai customer kalo begini caranya,selama tahun pake gojek baru sebulan ini merasa sangat kecewa argo selangit tapi buat dapet driver lamanya minta ampun sekalinya dapet jauh nunggu lagi order gofood juga susah buat dapet driver harus nunggu menit baru bisa cancel itupun belum tentu dapet driver sekalinya dapet mesti nunggu lagi makanan untuk dibuat dari dulu kalo hujan lelet gojek gak menghargai customer kalo begini caranya,selama tahun pakai gojek baru sebulan ini merasa sangat kecewa argo selangit tapi buat dapat driver lamanya meminta ampun sekalinya dapat jauh menunggu lagi order gofood juga susah buat dapat driver harus menunggu menit baru bisa cancel itupun belum tentu dapat driver sekalinya dapat mesti menunggu lagi makanan untuk dibuat dari dulu kalo hujan lelet gojek enggak menghargai customer kalo begini caranya,selama tahun pakai gojek baru sebulan ini merasa sangat kecewa argo selangit tapi buat dapat driver lamanya meminta ampun sekalinya dapat jauh menunggu lagi gofood susah buat dapat driver harus menunggu menit baru bisa cancel itupun belum tentu dapat driver sekalinya dapat mesti menunggu lagi makanan untuk dibuat dulu hujan lelet gojek enggak menghargai customer begini caranya,"i've been using gojek for the past month and i've been very disappointed, the fares are exorbitant, but to get it, the old driver asks for forgiveness, it's a long wait, gofood is hard to get, the driver has to wait a few minutes before you can cancel, and even then you don't necessarily get the driver, once you get it, you have to wait again for the food to be made first, it's raining, gojek doesn't respect customers, this is how it works.",negative
Chiechie Salon,2,tolong di perbaiki LG susah dapat driver Skali nya dapat lama jadi kesel,2026-03-30 15:29:38,tolong perbaiki susah dapat driver skali nya dapat lama jadi kesel,tolong perbaiki susah dapat driver skali nya dapat lama jadi kesel,tolong perbaiki susah dapat driver sekali nya dapat lama jadi kesel,perbaiki susah dapat driver sekali dapat lama jadi kesel,"fix it's hard to get a driver, it can be annoying for a long time",negative
MONKEY MAGIC22,5,mantul,2026-03-30 15:27:36,mantul,mantul,mantu,mantu,son-in-law,neutral
