userName,score,content,at,clean_content,sentiment,cleaning,case_folding,normalization,stopword_removal
Hendra Saputra,1,"pesanan lama, pas dapet driver posisi jauh , gojek udah bodoh",2026-03-30 23:41:36,pesanan lama pas dapet driver posisi jauh gojek udah bodoh,negatif,pesanan lama pas dapet driver posisi jauh gojek udah bodoh,pesanan lama pas dapet driver posisi jauh gojek udah bodoh,pesanan lama pas dapat driver posisi jauh gojek sudah bodoh,pesanan lama pas dapat driver posisi jauh gojek sudah bodoh
Ardany Arlita,1,makin sulit cari driver perbaikin dong sistem nya kasian user yang jadi korban,2026-03-30 23:39:43,makin sulit cari driver perbaikin dong sistem nya kasian user yang jadi korban,negatif,makin sulit cari driver perbaikin dong sistem nya kasian user yang jadi korban,makin sulit cari driver perbaikin dong sistem nya kasian user yang jadi korban,makin sulit cari driver memperbaiki dong sistem nya kasihan user yang jadi korban,makin sulit cari driver memperbaiki dong sistem kasihan user yang jadi korban
Satu Enam,1,"lelet banget bikin sya telat sekolah,udh di booking dr awal waktu aja masi gada yg bsa d dapet",2026-03-30 23:34:48,lelet banget bikin sya telat sekolahudh di booking dr awal waktu aja masi gada yg bsa d dapet,negatif,lelet banget bikin sya telat sekolah udh booking awal waktu aja masi gada bsa dapet,lelet banget bikin sya telat sekolah udh booking awal waktu aja masi gada bsa dapet,lelet banget bikin saya telat sekolah sudah booking awal waktu saja masih enggak ada bisa dapat,lelet saya telat sekolah sudah booking awal waktu saja masih enggak ada bisa dapat
Ubil Ubil,3,susah dapet gojeknya,2026-03-30 23:28:14,susah dapet gojeknya,netral,susah dapet gojeknya,susah dapet gojeknya,susah dapat gojeknya,susah dapat gojeknya
Pponyo Picolo,3,"sekarang nyari driver susah, pada ga MW ambil",2026-03-30 23:25:32,sekarang nyari driver susah pada ga mw ambil,netral,sekarang nyari driver susah pada ga ambil,sekarang nyari driver susah pada ga ambil,sekarang mencari driver susah pada tidak ambil,sekarang mencari driver susah pada tidak ambil
FAIRUZTRANS,5,tolong banget nih kak goride hemat tolong cepetin pencarian driver nya mak,2026-03-30 23:23:38,tolong banget nih kak goride hemat tolong cepetin pencarian driver nya mak,positif,tolong banget nih kak goride hemat tolong cepetin pencarian driver nya mak,tolong banget nih kak goride hemat tolong cepetin pencarian driver nya mak,tolong banget nih kak goride hemat tolong cepetin pencarian driver nya mak,goride hemat cepetin pencarian driver mak
SEPTIA PUTRA,2,suka susah dapat driver gak rekomend bat payah,2026-03-30 23:21:36,suka susah dapat driver gak rekomend bat payah,negatif,suka susah dapat driver gak rekomend bat payah,suka susah dapat driver gak rekomend bat payah,suka susah dapat driver enggak rekomend banget payah,suka susah dapat driver enggak rekomend payah
Gilang Goper,5,puas,2026-03-30 23:20:56,puas,positif,puas,puas,puas,puas
Fadhlurrahman NF,5,ok,2026-03-30 23:17:42,ok,positif,ok,ok,baik,baik
Arsyilla Syilla,5,mempercepat perjalanan apabila dibutuhkan,2026-03-30 23:16:08,mempercepat perjalanan apabila dibutuhkan,positif,mempercepat perjalanan apabila dibutuhkan,mempercepat perjalanan apabila dibutuhkan,mempercepat perjalanan apabila dibutuhkan,mempercepat perjalanan apabila dibutuhkan
Firman Syah,1,"selalu susah dan tidak dapat driver kalo pagi pagi order, padahal pagi itu jam jam rawan anak mau berangkat sekolah... sekelas gojek ga ada yang bersedia",2026-03-30 23:08:03,selalu susah dan tidak dapat driver kalo pagi pagi order padahal pagi itu jam jam rawan anak mau berangkat sekolah sekelas gojek ga ada yang bersedia,negatif,selalu susah dan tidak dapat driver kalo pagi pagi order padahal pagi itu jam jam rawan anak mau berangkat sekolah sekelas gojek ga ada yang bersedia,selalu susah dan tidak dapat driver kalo pagi pagi order padahal pagi itu jam jam rawan anak mau berangkat sekolah sekelas gojek ga ada yang bersedia,selalu susah dan tidak dapat driver kalo pagi pagi order padahal pagi itu jam jam rawan anak mau berangkat sekolah sekelas gojek tidak ada yang bersedia,selalu susah dan tidak dapat driver pagi pagi pagi itu jam jam rawan anak mau berangkat sekolah sekelas gojek tidak ada yang bersedia
Hagai gabriel L.T,1,tolong lah gojek jangan rakus akhir akhir ini driver jadi makin jauh dapet lokasi saya tau maksud fitur yang baru yang tambah 3000 untuk cari driver lokasi dekat tapi bukan begini,2026-03-30 23:05:35,tolong lah gojek jangan rakus akhir akhir ini driver jadi makin jauh dapet lokasi saya tau maksud fitur yang baru yang tambah untuk cari driver lokasi dekat tapi bukan begini,negatif,tolong lah gojek jangan rakus akhir akhir ini driver jadi makin jauh dapet lokasi saya tau maksud fitur yang baru yang tambah untuk cari driver lokasi dekat tapi bukan begini,tolong lah gojek jangan rakus akhir akhir ini driver jadi makin jauh dapet lokasi saya tau maksud fitur yang baru yang tambah untuk cari driver lokasi dekat tapi bukan begini,tolong lah gojek jangan rakus akhir akhir ini driver jadi makin jauh dapat lokasi saya tau maksud fitur yang baru yang tambah untuk cari driver lokasi dekat tapi bukan begini,lah gojek jangan rakus akhir akhir ini driver jadi makin jauh dapat lokasi saya maksud fitur yang baru yang tambah untuk cari driver lokasi dekat tapi bukan begini
Nur Halim Alma'mury,5,menyenangkan....,2026-03-30 22:53:00,menyenangkan,positif,menyenangkan,menyenangkan,menyenangkan,menyenangkan
Putri Kholifa,3,"susah sekali dpt gojek, sudah pakai yg paling mahal pun ditolak, 30 menit nungguinnya.",2026-03-30 22:52:28,susah sekali dpt gojek sudah pakai yg paling mahal pun ditolak menit nungguinnya,netral,susah sekali gojek sudah pakai paling mahal pun ditolak menit nungguinnya,susah sekali gojek sudah pakai paling mahal pun ditolak menit nungguinnya,susah sekali gojek sudah pakai paling mahal pun ditolak menit nungguinnya,susah sekali gojek sudah pakai paling mahal pun ditolak menit nungguinnya
Yuma,4,ini kenapa ya saldo kepotong 72.000 padahal order gocar gak dapat??? sudah yang kedua kalinya nihhh kacauuuu!!,2026-03-30 22:39:14,ini kenapa ya saldo kepotong padahal order gocar gak dapat sudah yang kedua kalinya nihhh kacauuuu,positif,ini kenapa saldo kepotong padahal order gocar gak dapat sudah yang kedua kalinya,ini kenapa saldo kepotong padahal order gocar gak dapat sudah yang kedua kalinya,ini kenapa saldo kepotong padahal order gocar enggak dapat sudah yang kedua kalinya,ini kenapa saldo kepotong gocar enggak dapat sudah yang kedua kalinya
Disney Family,1,"hati2 para pelanggan, saya memakai app ini sdh sgt lama dan hr ini sy sgt kecewa krn 3 hari lalu sy memesan makanan tp 2 item oleh resto di bilang abis, bgtu makanan tiba sy byr driver lgsg tancap gas tanpa memberi sy uang kembalian dan lngsung di end chat. sy buat laporan hingga 3 hr bertele2 di minta foto berulang kali n di blg gk bs lapor sth 24 jam pdhl sy lapor saat itu jg tp pihak gojek yg sengaja meresponnya keesokan hari. Hati2 aja para pengguna app gojek jika beli makanan.",2026-03-30 22:27:19,hati para pelanggan saya memakai app ini sdh sgt lama dan hr ini sy sgt kecewa krn hari lalu sy memesan makanan tp item oleh resto di bilang abis bgtu makanan tiba sy byr driver lgsg tancap gas tanpa memberi sy uang kembalian dan lngsung di end chat sy buat laporan hingga hr bertele di minta foto berulang kali n di blg gk bs lapor sth jam pdhl sy lapor saat itu jg tp pihak gojek yg sengaja meresponnya keesokan hari hati aja para pengguna app gojek jika beli makanan,negatif,para pelanggan saya memakai app ini lama dan ini kecewa hari lalu memesan makanan item oleh resto bilang abis bgtu makanan tiba driver tancap gas tanpa memberi uang kembalian dan end chat buat laporan hingga minta foto berulang kali n gk lapor jam lapor saat itu pihak gojek sengaja meresponnya keesokan hari aja para pengguna app gojek jika beli makanan,para pelanggan saya memakai app ini lama dan ini kecewa hari lalu memesan makanan item oleh resto bilang abis bgtu makanan tiba driver tancap gas tanpa memberi uang kembalian dan end chat buat laporan hingga minta foto berulang kali n gk lapor jam lapor saat itu pihak gojek sengaja meresponnya keesokan hari aja para pengguna app gojek jika beli makanan,para pelanggan saya memakai aplikasi ini lama dan ini kecewa hari lalu memesan makanan item oleh resto bilang habis begitu makanan tiba driver tancap gas tanpa memberi uang kembalian dan end chat buat laporan hingga meminta foto berulang kali dan tidak lapor jam lapor saat itu pihak gojek sengaja meresponnya keesokan hari saja para pengguna aplikasi gojek jika beli makanan,para pelanggan saya memakai aplikasi ini lama dan ini kecewa hari lalu memesan makanan item oleh resto bilang habis begitu makanan tiba driver tancap gas tanpa memberi uang kembalian dan end chat buat laporan hingga meminta foto berulang kali dan tidak lapor jam lapor saat itu pihak gojek sengaja meresponnya keesokan hari saja para pengguna aplikasi gojek jika beli makanan
Vemby Aditya Herman,1,"APK OJEK MAKIN GOBLOKKKKKK, GADA BAGUSNYA KNTL",2026-03-30 21:59:47,apk ojek makin goblokkkkkk gada bagusnya kntl,negatif,apk ojek makin gada bagusnya,apk ojek makin gada bagusnya,aplikasi ojek makin enggak ada bagusnya,aplikasi ojek makin enggak ada bagusnya
Putra Kurnia,2,driver nya pilih pilih,2026-03-30 21:52:13,driver nya pilih pilih,negatif,driver nya pilih pilih,driver nya pilih pilih,driver nya pilih pilih,driver pilih pilih
cor chon chanel,1,"bnyak driver nakal,, diapliksi tulisnya 12rbu glirn byar mintanya 30rbu.hati"" klo plat beda dgn nmor yg trcntum diaplksi jgn mau.hnya modus.",2026-03-30 21:49:04,bnyak driver nakal diapliksi tulisnya rbu glirn byar mintanya rbuhati klo plat beda dgn nmor yg trcntum diaplksi jgn mauhnya modus,negatif,driver nakal diapliksi tulisnya byar mintanya hati klo plat beda nmor diaplksi mau hnya modus,driver nakal diapliksi tulisnya byar mintanya hati klo plat beda nmor diaplksi mau hnya modus,driver nakal diapliksi tulisnya byar mintanya hati kalo plat beda nmor diaplksi mau hanya modus,driver nakal diapliksi tulisnya byar mintanya hati plat beda nmor diaplksi mau hanya modus
Muhammad Sukron,1,tolong drivernya yang kompeten saya sudah nunggu lama udah sampai di cancel,2026-03-30 21:32:59,tolong drivernya yang kompeten saya sudah nunggu lama udah sampai di cancel,negatif,tolong drivernya yang kompeten saya sudah nunggu lama udah sampai cancel,tolong drivernya yang kompeten saya sudah nunggu lama udah sampai cancel,tolong drivernya yang kompeten saya sudah menunggu lama sudah sampai cancel,drivernya yang kompeten saya sudah menunggu lama sudah sampai cancel
Devi Firdaus,5,great app,2026-03-30 19:59:51,great app,positif,great app,great app,gregat aplikasi,gregat aplikasi
Veri Kurniawan,1,cs layanan nya jelek ga member solusi,2026-03-30 19:02:12,cs layanan nya jelek ga member solusi,negatif,layanan nya jelek ga member solusi,layanan nya jelek ga member solusi,layanan nya jelek tidak memberi solusi,layanan jelek tidak memberi solusi
Elseria Naibaho,1,DRIVER TERSEBUT (DALAM GAMBAR SCREENSHOT TERLAMPIR) MELAKUKAN PELANGGARAN DALAM MEMBERIKAN PELAYANAN KEPADA SAYA SELAKU PELANGGAN !,2026-03-30 18:53:58,driver tersebut dalam gambar screenshot terlampir melakukan pelanggaran dalam memberikan pelayanan kepada saya selaku pelanggan,negatif,driver tersebut dalam gambar screenshot terlampir melakukan pelanggaran dalam memberikan pelayanan kepada saya selaku pelanggan,driver tersebut dalam gambar screenshot terlampir melakukan pelanggaran dalam memberikan pelayanan kepada saya selaku pelanggan,driver tersebut dalam gambar screenshot terlampir melakukan pelanggaran dalam memberikan pelayanan kepada saya selaku pelanggan,driver tersebut dalam gambar screenshot terlampir melakukan pelanggaran dalam memberikan pelayanan kepada saya selaku pelanggan
gagan sugandiatmawijaya,5,Bagus,2026-03-30 17:35:42,bagus,positif,bagus,bagus,bagus,bagus
rre,5,Bagus banget aplikasinya🥺,2026-03-30 17:19:06,bagus banget aplikasinya,positif,bagus banget aplikasinya,bagus banget aplikasinya,bagus banget aplikasinya,bagus aplikasinya
yatno back,1,Mulai bosok 🤣,2026-03-30 17:01:01,mulai bosok,negatif,mulai bosok,mulai bosok,mulai bosok,mulai bosok
fikri manda,5,terimakasih,2026-03-30 16:38:29,terimakasih,positif,terimakasih,terimakasih,terimakasih,terimakasih
Sumardi Laga,5,segala sesuatu menjadi lebih mudah,2026-03-30 16:32:37,segala sesuatu menjadi lebih mudah,positif,segala sesuatu menjadi lebih mudah,segala sesuatu menjadi lebih mudah,segala sesuatu menjadi lebih mudah,segala sesuatu menjadi lebih mudah
Kartika Islamiya,4,"bagus applikasi nya cuman buat gofood banyakin voucher gratis ongkir, untuk transaksi under 20 ribu dong 🙏🏻",2026-03-30 16:28:27,bagus applikasi nya cuman buat gofood banyakin voucher gratis ongkir untuk transaksi under ribu dong,positif,bagus applikasi nya cuman buat gofood banyakin voucher gratis ongkir untuk transaksi under ribu dong,bagus applikasi nya cuman buat gofood banyakin voucher gratis ongkir untuk transaksi under ribu dong,bagus aplikasi nya cuman buat gofood membanyaki voucer gratis ongkir untuk transaksi under ribu dong,bagus aplikasi buat gofood membanyaki voucer gratis ongkir untuk transaksi under ribu dong
Okta Piani,5,"yaoooooo berguna banget buat aku yang suka mageran ini, pelayanan nya juga oke2",2026-03-30 15:58:52,yaoooooo berguna banget buat aku yang suka mageran ini pelayanan nya juga oke,positif,berguna banget buat aku yang suka mageran ini pelayanan nya juga,berguna banget buat aku yang suka mageran ini pelayanan nya juga,berguna banget buat aku yang suka mageran ini pelayanan nya juga,berguna buat aku yang suka mageran ini pelayanan
Slamet Sugiyanto,5,jos,2026-03-30 15:55:24,jos,positif,jos,jos,jos,jos
dhini yulianita,1,"Selama 10 Tahun Pake Gojek, Baru Sebulan ini merasa SANGAT KECEWA. 1. Argo Selangit tapi buat dapet Driver Lamanya minta ampun; sekalinya dapet Jauh, nunggu lagi; 2. Order Gofood juga susah buat dapet driver, harus nunggu 30-45 menit baru bisa cancel.. Itupun belum tentu dapet driver. Sekalinya dapet, mesti nunggu lagi makanan untuk dibuat; 3. Dari dulu kalo Hujan Lelet. Gojek Gak Menghargai Customer kalo begini caranya!!",2026-03-30 15:43:20,selama tahun pake gojek baru sebulan ini merasa sangat kecewa argo selangit tapi buat dapet driver lamanya minta ampun sekalinya dapet jauh nunggu lagi order gofood juga susah buat dapet driver harus nunggu menit baru bisa cancel itupun belum tentu dapet driver sekalinya dapet mesti nunggu lagi makanan untuk dibuat dari dulu kalo hujan lelet gojek gak menghargai customer kalo begini caranya,negatif,selama tahun pake gojek baru sebulan ini merasa sangat kecewa argo selangit tapi buat dapet driver lamanya minta ampun sekalinya dapet jauh nunggu lagi order gofood juga susah buat dapet driver harus nunggu menit baru bisa cancel itupun belum tentu dapet driver sekalinya dapet mesti nunggu lagi makanan untuk dibuat dari dulu kalo hujan lelet gojek gak menghargai customer kalo begini caranya,selama tahun pake gojek baru sebulan ini merasa sangat kecewa argo selangit tapi buat dapet driver lamanya minta ampun sekalinya dapet jauh nunggu lagi order gofood juga susah buat dapet driver harus nunggu menit baru bisa cancel itupun belum tentu dapet driver sekalinya dapet mesti nunggu lagi makanan untuk dibuat dari dulu kalo hujan lelet gojek gak menghargai customer kalo begini caranya,selama tahun pakai gojek baru sebulan ini merasa sangat kecewa argo selangit tapi buat dapat driver lamanya meminta ampun sekalinya dapat jauh menunggu lagi order gofood juga susah buat dapat driver harus menunggu menit baru bisa cancel itupun belum tentu dapat driver sekalinya dapat mesti menunggu lagi makanan untuk dibuat dari dulu kalo hujan lelet gojek enggak menghargai customer kalo begini caranya,selama tahun pakai gojek baru sebulan ini merasa sangat kecewa argo selangit tapi buat dapat driver lamanya meminta ampun sekalinya dapat jauh menunggu lagi gofood susah buat dapat driver harus menunggu menit baru bisa cancel itupun belum tentu dapat driver sekalinya dapat mesti menunggu lagi makanan untuk dibuat dulu hujan lelet gojek enggak menghargai customer begini caranya
Chiechie Salon,2,tolong di perbaiki LG susah dapat driver Skali nya dapat lama jadi kesel,2026-03-30 15:29:38,tolong di perbaiki lg susah dapat driver skali nya dapat lama jadi kesel,negatif,tolong perbaiki susah dapat driver skali nya dapat lama jadi kesel,tolong perbaiki susah dapat driver skali nya dapat lama jadi kesel,tolong perbaiki susah dapat driver sekali nya dapat lama jadi kesel,perbaiki susah dapat driver sekali dapat lama jadi kesel
MONKEY MAGIC22,5,mantul,2026-03-30 15:27:36,mantul,positif,mantul,mantul,mantu,mantu
fellinda meita,1,koruptor,2026-03-30 15:20:16,koruptor,negatif,koruptor,koruptor,koruptor,koruptor
Ardi Susanto,1,Putar-putar cari driver pembayaran tunai,2026-03-30 15:07:36,putarputar cari driver pembayaran tunai,negatif,putar putar cari driver pembayaran tunai,putar putar cari driver pembayaran tunai,putar putar cari driver pembayaran tunai,putar putar cari driver pembayaran tunai
